House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Lomond Ville,Emma,Parkinson,50,Head,Married,Female,Financial planner,None,Catholic
1,Lomond Ville,Glenn,Parkinson,54,Husband,Married,Male,Civil Service fast streamer,None,Catholic
2,Lomond Ville,Sally,Harvey,21,Head,Married,Female,University Student,None,None
2,Lomond Ville,Glen,Harvey,22,Husband,Married,Male,University Student,None,None
3,Lomond Ville,Janet,Akhtar,50,Head,Divorced,Female,Horticultural therapist,None,Catholic
4,Lomond Ville,Jack,Nicholson,48,Head,Single,Male,Radiation protection practitioner,None,Christian
5,Lomond Ville,Leanne,Turner,83,Head,Divorced,Female,Retired Land,None,None
6,Lomond Ville,Natasha,Davis,47,Head,Divorced,Female,Unemployed,None,Methodist
Six,Lomond Ville,Natalie,Davis,12,Daughter,NA,Female,Student,None,NA
7,Lomond Ville,Lydia,Brown,47,Head,Married,Female,Phytotherapist,None,Methodist
7,Lomond Ville,Gregory,Brown,49,Husband,Married,Male,Public affairs consultant,None,Methodist
7,Lomond Ville,Marc,Brown,8,Son,NA,Male,Student,None,NA
8,Lomond Ville,Beth,Jones,70,Head,Married,Female,Retired Corporate treasurer,None,Christian
8,Lomond Ville,Louis,Jones,72,Husband,Married,Male,Retired Microbiologist,None,None
8,Lomond Ville,Ruth,King,12,Granddaughter,NA,Female,Student,None,NA
9,Lomond Ville,Jayne,Simmons,83,Head,Single,Female,Retired Production manager,None,Christian
10,Lomond Ville,Heather,Elliott,48,Head,Single,Female,Management consultant,None,Catholic
10,Lomond Ville,Thomas,Franklin,12,Step-Son,NA,Male,Student,None,NA
11,Lomond Ville,Ricky,Finch,74,Head,Divorced,Male,Retired Structural engineer,None,None
12,Lomond Ville,Shaun,Glover,81,Head,Widowed,Male,Retired Copy,None,None
13,Lomond Ville,Craig,Brooks,41,Head,Married,Male,"Teacher, special educational needs",None,None
13,Lomond Ville,Bethany,Brooks,42,Wife,Married,Female,Health service manager,None,None
14,Lomond Ville,Kathleen,Hudson,80,Head,Married,Female,Retired Dramatherapist,None,None
14,Lomond Ville,Kenneth,Hudson,83,Husband,Married,Male,Retired Passenger transport manager,None,None
15,Lomond Ville,Alan,Cox,19,Head,Single,Male,University Student,None,Christian
15,Lomond Ville,Ross,Williams,20,None,Single,Male,University Student,None,Catholic
16,Lomond Ville,Dawn,Hudson-Johnson,46,Head,Married,Female,"Presenter, broadcasting",None,None
16,Lomond Ville,Gordon,Hudson-Johnson,49,Husband,Married,Male,Financial planner,None,None
16,Lomond Ville,Edward,Hudson-Johnson,14,Son,NA,Male,Student,None,NA
17,Lomond Ville,Joan,Woodward,73,Head,Married,Female,Retired Location manager,None,Christian
17,Lomond Ville,Max,Woodward,75,Husband,Married,Male,Retired Diplomatic Services operational officer,None,Christian
18,Lomond Ville,Eric,Watson,67,Head,Married,Male,"Surveyor, land/geomatics",None,Christian
18,Lomond Ville,Grace,Watson,64,Wife,Married,Female,"Teacher, adult education",None,Christian
19,Lomond Ville,Sylvia,Bell,23,Head,Divorced,Female,Musician,None,None
20,Lomond Ville,Josh,Jackson,33,Head,Single,Male,English as a second language teacher,None,None
20,Lomond Ville,Vanessa,Davis,33,Partner,Single,Female,Airline pilot,None,None
21,Lomond Ville,Molly,Walters,51,Head,Single,Female,"Nurse, adult",None,Christian
22,Lomond Ville,Irene,Bradshaw,22,Head,Married,Female,University Student,None,None
22,Lomond Ville,Kenneth,Bradshaw,28,Husband,Married,Male,Herpetologist,None,None
23,Lomond Ville,Hilary,Harper,57,Head,Single,Female,Mental health nurse,None,Christian
24,Lomond Ville,Paula,Ahmed,44,Head,Married,Female,Curator,None,None
24,Lomond Ville,Wayne,Ahmed,43,Husband,Married,Male,Ceramics designer,None,None
25,Lomond Ville,Mary,Miller,50,Head,Married,Female,Information systems manager,None,None
25,Lomond Ville,Terence,Miller,56,Husband,Married,Male,Legal executive,None,None
26,Lomond Ville,Harry,Newton,80,Head,Widowed,Male,Retired Automotive engineer,None,Christian
27,Lomond Ville,Shaun,Chapman,39,Head,Single,Male,Health physicist,None,Catholic
28,Lomond Ville,Carly,Turner,55,Head,Divorced,Female,TEFL teacher,None,None
29,Lomond Ville,Georgina,Doherty,31,Head,Single,Female,"Scientist, product/process development",None,None
30,Lomond Ville,Marilyn,Whitehouse,57,Head,Divorced,Female,Location manager,None,Christian
30,Lomond Ville,Gerald,Whitehouse,28,Son,Single,Male,Furniture conservator/restorer,None,Christian
31,Lomond Ville,Maureen,Taylor,56,Head,Single,Female,Games developer,None,None
31,Lomond Ville,Albert,Oliver,44,None,Single,Male,Chemical engineer,None,None
31,Lomond Ville,Roger,Jones,43,None,Single,Male,Systems analyst,None,None
32,Lomond Ville,Paul,Jennings,82,Head,Widowed,Male,Retired Commercial art gallery manager,None,Christian
33,Lomond Ville,Abbie,O'Neill,51,Head,Single,Female,"Engineer, land",None,Christian
34,Lomond Ville,Alice,Webb,32,Head,Divorced,Female,"Therapist, occupational",None,None
34,Lomond Ville,Denise,Ball,29,Lodger,Single,Female,"Programmer, applications",None,None
35,Lomond Ville,Stewart,Johnson,42,Head,Single,Male,Science writer,None,None
36,Lomond Ville,Jodie,Thompson,67,Head,Widowed,Female,Media planner,None,Christian
37,Lomond Ville,Darren,Clark,18,Head,Single,Male,Student,None,NA
37,Lomond Ville,Charles,Baxter,47,None,Single,Male,Interpreter,None,Catholic
37,Lomond Ville,Karl,Cook,36,None,Single,Male,Art therapist,None,Christian
38,Lomond Ville,Dorothy,Coles,40,Head,Divorced,Female,Unemployed,None,Catholic
38,Lomond Ville,Abdul,Coles,9,Son,NA,Male,Student,None,NA
39,Lomond Ville,Leslie,King,36,Head,Divorced,Male,Unemployed,None,Methodist
39,Lomond Ville,Joe,King,13,Son,NA,Male,Student,Unknown Infection,NA
39,Lomond Ville,Justin,King,12,Son,NA,Male,Student,None,NA
39,Lomond Ville,Clifford,King,11,Son,NA,Male,Student,None,NA
40,Lomond Ville,Louise,Edwards,47,Head,Divorced,Female,Unemployed,None,None
40,Lomond Ville,John,Edwards,13,Son,NA,Male,Student,None,NA
40,Lomond Ville,Harry,Edwards,7,Son,NA,Male,Student,None,NA
40,Lomond Ville,Laura,Edwards,4,Daughter,NA,Female,Child,None,NA
41,Lomond Ville,Amy,Turner,40,Head,Divorced,Female,Forensic scientist,None,None
42,Lomond Ville,Tom,Reynolds,80,Head,Widowed,Male,"Retired Surveyor, mining",None,None
43,Lomond Ville,Marcus,Potts,52,Head,Divorced,Male,Chartered certified accountant,None,Christian
43,Lomond Ville,Danielle,Potts,5,Granddaughter,NA,Female,Student,None,NA
44,Lomond Ville,Jennifer,Walsh,40,Head,Single,Female,Camera operator,None,None
44,Lomond Ville,Bryan,Lee,49,Partner,Single,Male,Web designer,None,None
44,Lomond Ville,Pauline,Walsh,14,Daughter,NA,Female,Student,None,NA
45,Lomond Ville,Michael,Jones,31,Head,Single,Male,Advertising account executive,None,Christian
46,Lomond Ville,Judith,Smith,63,Head,Single,Female,"Engineer, energy",None,Christian
47,Lomond Ville,Lynne,Bradshaw,39,Head,Divorced,Female,Community pharmacist,None,Catholic
47,Lomond Ville,Reece,Bradshaw,16,Son,NA,Male,Student,None,NA
48,Lomond Ville,Rebecca,Smith,50,Head,Single,Female,"Development worker, international aid",None,Christian
49,Lomond Ville,Lynne,Willis,56,Head,Married,Female,Immigration officer,None,Catholic
49,Lomond Ville,Colin,Willis,58,Husband,Married,Male,Dealer,None,Catholic
49,Lomond Ville,Jacob,Willis,29,Son,Single,Male,"Teacher, early years/pre",None,Catholic
50,Lomond Ville,Toby,Willis,73,Head,Widowed,Male,Retired Teaching laboratory technician,None,None
51,Lomond Ville,Ryan,Russell,29,Head,Single,Male,Solicitor,None,None
51,Lomond Ville,Lindsey,May,24,Partner,Single,Female,Exhibition designer,None,None
51,Lomond Ville,Alex,Ward,52,Lodger,Single,Male,Newspaper journalist,None,Methodist
52,Lomond Ville,Norman,Moran,35,Head,Divorced,Male,Unemployed,None,None
53,Lomond Ville,Dale,Jones,98,Head,Widowed,Male,Retired Software engineer,None,Christian
54,Lomond Ville,Tracey,Dunn,56,Head,Married,Female,Press sub,None,Christian
54,Lomond Ville,Stewart,Dunn,54,Husband,Married,Male,Ergonomist,None,Christian
55,Lomond Ville,Jessica,Jackson,20,Head,Single,Female,University Student,None,Methodist
55,Lomond Ville,Mohammed,Begum,49,None,Divorced,Male,Geophysicist/field seismologist,None,None
55,Lomond Ville,Diana,Parkinson,52,None,Single,Female,"Psychologist, prison and probation services",None,Catholic
56,Lomond Ville,Jade,Nolan,35,Head,Divorced,Female,Solicitor,None,Christian
57,Lomond Ville,Norman,Davidson,32,Head,Single,Male,Unemployed,None,None
58,Lomond Ville,Amelia,Powell,40,Head,Divorced,Female,Sports administrator,None,None
59,Lomond Ville,Elizabeth,Phillips,69,Head,Married,Female,Retired Broadcast presenter,None,None
59,Lomond Ville,Stanley,Phillips,69,Husband,Married,Male,Retired Barrister,None,None
60,Lomond Ville,Joan,Nelson,50,Head,Divorced,Female,"Surveyor, minerals",None,None
60,Lomond Ville,Geraldine,Nelson,12,Daughter,NA,Female,Student,None,NA
61,Lomond Ville,Alan,Ashton,47,Head,Married,Male,Unemployed,Mental Disability,None
61,Lomond Ville,Joan,Ashton,46,Wife,Married,Female,"Research officer, trade union",None,None
61,Lomond Ville,Molly,Ashton,14,Daughter,NA,Female,Student,None,NA
62,Lomond Ville,Rachael,Lee,59,Head,Divorced,Female,"Scientist, forensic",None,Christian
63,Lomond Ville,Lynne,Thomas,53,Head,Single,Female,Housing manager/officer,None,None
64,Lomond Ville,Louise,Iqbal,45,Head,Married,Female,Sales promotion account executive,None,None
64,Lomond Ville,Phillip,Iqbal,47,Husband,Married,Male,Herbalist,None,None
64,Lomond Ville,Dominic,Iqbal,17,Son,NA,Male,Student,None,NA
65,Lomond Ville,Margaret,Farrell,23,Head,Single,Female,Unemployed,None,None
65,Lomond Ville,Connor,Farrell,1,Son,NA,Male,Child,None,NA
66,Lomond Ville,Justin,Andrews,21,Head,Single,Male,University Student,None,None
66,Lomond Ville,Sharon,Mitchell,19,Partner,Single,Female,University Student,None,None
